"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,-0.386,NA,0.121,-1.663,NA,1.796
"Alabama","Baldwin",1003,8.881,41.336,-1.01,12.402,8.476,2.805
"Alabama","Barbour",1005,-8.14,NA,NA,1.041,NA,-0.003
"Alabama","Bibb",1007,-3.199,NA,NA,-0.732,NA,0.001
"Alabama","Blount",1009,2.703,NA,0.22,2.023,NA,1.04
"Alabama","Bullock",1011,0.002,NA,NA,NA,NA,-1.467
"Alabama","Butler",1013,-12.82,NA,NA,2.475,NA,-0.71
"Alabama","Calhoun",1015,1.754,NA,0.105,0.277,NA,1.983
"Alabama","Chambers",1017,-0.476,NA,0.022,2.488,NA,3.266
"Alabama","Cherokee",1019,0.691,NA,NA,-1.787,NA,0.513
"Alabama","Chilton",1021,-6.531,NA,0.021,-1.166,4.838,3.999
"Alabama","Choctaw",1023,-8.697,NA,NA,NA,NA,1.539
"Alabama","Clarke",1025,-8.331,NA,NA,-0.704,NA,2.306
"Alabama","Clay",1027,-0.004,NA,NA,-7.018,NA,-0.003
"Alabama","Cleburne",1029,-4.839,NA,NA,NA,NA,5.612
"Alabama","Coffee",1031,0.342,NA,-0.575,5.326,NA,3.91
"Alabama","Colbert",1033,2.659,NA,-0.038,1.231,1.061,-0.221
"Alabama","Conecuh",1035,-2.047,NA,NA,-11.868,10.604,10.606
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,3.411
"Alabama","Covington",1039,2.024,NA,0.737,4.727,NA,1.534
"Alabama","Crenshaw",1041,-3.178,NA,NA,10.746,NA,0.001
"Alabama","Cullman",1043,6.589,-1.883,1.018,9.526,4.541,-4.134
"Alabama","Dale",1045,7.014,NA,0.103,-0.869,3.391,1.633
"Alabama","Dallas",1047,NA,NA,0.397,-7.495,1.983,-10.059
"Alabama","DeKalb",1049,-1.375,NA,-0.659,-0.146,NA,1.823
"Alabama","Elmore",1051,0.003,NA,1.327,2.277,NA,0.647
"Alabama","Escambia",1053,-4.136,NA,0.216,2.503,NA,3.542
"Alabama","Etowah",1055,1.498,NA,0.427,7.474,3.618,1.723
"Alabama","Fayette",1057,NA,NA,NA,0.936,NA,-4.938
"Alabama","Franklin",1059,-3.624,NA,0.485,3.733,NA,2.066
"Alabama","Geneva",1061,-2.544,NA,-1.504,5.518,NA,3.554
"Alabama","Greene",1063,9.255,NA,NA,NA,9.698,-0.048
"Alabama","Hale",1065,-5.557,NA,NA,-20.001,NA,-4.125
"Alabama","Henry",1067,0.002,NA,NA,10.633,NA,3.593
"Alabama","Houston",1069,-1.073,NA,-0.345,5.219,1.43,2.526
"Alabama","Jackson",1071,-0.799,NA,-0.574,1.501,NA,1.71
"Alabama","Jefferson",1073,1.446,-12.383,0.158,1.375,-0.71,0.863
"Alabama","Lamar",1075,0.002,NA,NA,NA,NA,6.696
"Alabama","Lauderdale",1077,2.302,NA,-0.758,5.017,NA,1.368
"Alabama","Lawrence",1079,4.478,NA,-0.577,5.058,NA,2.383
"Alabama","Lee",1081,0.249,NA,0.741,-0.532,NA,1.194
"Alabama","Limestone",1083,2.722,20.682,-0.106,8.536,NA,3.751
"Alabama","Lowndes",1085,NA,NA,NA,NA,5.264,1.373
"Alabama","Macon",1087,17.093,NA,NA,-6.186,-12.308,-2.692
"Alabama","Madison",1089,4.09,6.62,-0.44,3.334,2.708,-0.132
"Alabama","Marengo",1091,NA,NA,NA,-2.828,3.132,2.892
"Alabama","Marion",1093,-12.969,NA,NA,3.838,NA,2.534
"Alabama","Marshall",1095,-1.503,10.567,-0.337,2.898,NA,1.12
"Alabama","Mobile",1097,4.085,7.511,-4.402,5.031,1.774,-0.816
"Alabama","Monroe",1099,NA,NA,NA,-8.497,-1.005,19.24
